date,sox_close,prior_prob,posterior_prob,prior_log_odds,evidence_log_odds,posterior_log_odds,contrib_pe_dev,contrib_ps_dev,contrib_price_momentum_z,contrib_dio_qoq,contrib_capex_surplus,contrib_sentiment_z
2021-10-15,3017.6809,0.4277,0.8867,-0.2914,2.349,2.0577,0.4692,0.4962,0.9265,0.0,0.0451,0.4121
2021-10-22,3046.4231,0.4162,0.902,-0.3384,2.5584,2.22,0.8384,0.4101,0.8482,0.0,0.077,0.3846
2021-10-29,3000.5341,0.3987,0.8298,-0.411,1.995,1.5839,0.5801,0.3787,0.7271,0.0,0.0158,0.2933
2021-11-05,3029.1507,0.3972,0.8544,-0.4172,2.1868,1.7696,0.7489,0.4352,0.7168,0.0,0.0444,0.2414
2021-11-12,3037.5824,0.392,0.8505,-0.4389,2.1777,1.7388,0.6228,0.4814,0.6806,0.0,0.0188,0.374
2021-11-19,3092.4654,0.3795,0.8045,-0.4918,1.9066,1.4148,0.5977,0.4995,0.5924,0.0,0.0487,0.1682
2021-11-26,3059.4354,0.3782,0.7952,-0.4972,1.8541,1.3569,0.6092,0.3237,0.5834,0.0,0.0589,0.2788
2021-12-03,3129.7525,0.3751,0.8083,-0.5102,1.9493,1.4391,0.5797,0.5431,0.5618,0.0,0.032,0.2328
2021-12-10,3280.9773,0.3876,0.8304,-0.4573,2.0458,1.5885,0.6527,0.4056,0.65,0.0,-0.009,0.3464
2021-12-17,3304.8661,0.3878,0.8335,-0.4565,2.0673,1.6107,0.752,0.431,0.6512,0.0,0.0471,0.1859
2021-12-24,3371.1049,0.3779,0.7917,-0.4986,1.8339,1.3353,0.5543,0.3282,0.5812,0.0,0.0498,0.3204
2021-12-31,3462.9796,0.3732,0.7465,-0.5184,1.5983,1.0799,0.6096,0.1448,0.5481,0.0,0.048,0.2478
2022-01-07,3462.8739,0.361,0.7373,-0.5711,1.6032,1.0321,0.4385,0.4291,0.4602,0.0,0.061,0.2144
2022-01-14,3516.9028,0.3492,0.687,-0.6227,1.4088,0.7861,0.5935,0.3622,0.3744,0.0,0.0103,0.0683
2022-01-21,3553.179,0.3481,0.6118,-0.6273,1.0824,0.4551,0.2824,0.2553,0.3666,0.0,0.0449,0.1332
2022-01-28,3597.3873,0.3416,0.6733,-0.6561,1.3793,0.7232,0.5976,0.2579,0.3187,0.0,0.052,0.1531
2022-02-04,3563.8407,0.4115,0.7253,-0.3578,1.3287,0.9709,0.3115,0.2866,0.2957,0.2881,-0.009,0.1558
2022-02-11,3601.6629,0.4,0.5866,-0.4057,0.7558,0.3501,0.0859,0.0596,0.269,0.2587,0.031,0.0516
2022-02-18,3682.5201,0.434,0.7294,-0.2654,1.257,0.9916,0.3348,0.1814,0.2947,0.3739,0.0164,0.0557
2022-02-25,3852.9419,0.4251,0.7593,-0.302,1.4511,1.1491,0.2684,0.3525,0.3509,0.309,0.0286,0.1416
2022-03-04,3983.8717,0.4558,0.7778,-0.1771,1.4298,1.2527,0.487,0.1472,0.3502,0.4,0.0372,0.0081
2022-03-11,4238.1605,0.4473,0.832,-0.2115,1.8113,1.5998,0.3911,0.3977,0.5108,0.3039,0.0288,0.1789
2022-03-18,4199.2386,0.4086,0.672,-0.3697,1.0869,0.7172,0.2744,0.1159,0.3192,0.2641,0.0147,0.0986
2022-03-25,4332.808,0.4114,0.6595,-0.3583,1.0192,0.6609,0.1558,0.3684,0.4277,0.2146,0.0354,-0.1826
2022-04-01,4395.9957,0.4203,0.7979,-0.3215,1.6949,1.3734,0.4262,0.3702,0.5212,0.1967,0.0172,0.1634
2022-04-08,4680.6148,0.427,0.7589,-0.2942,1.4408,1.1467,0.1552,0.2229,0.5424,0.2102,0.018,0.2921
2022-04-15,4632.8376,0.4411,0.7693,-0.2366,1.4412,1.2046,0.2034,0.4411,0.4326,0.3242,0.0485,-0.0085
2022-04-22,4581.9086,0.4312,0.7185,-0.2771,1.2139,0.9368,0.4651,0.1912,0.3382,0.339,0.0065,-0.126
2022-04-29,4389.5937,0.3781,0.5303,-0.4978,0.619,0.1212,0.3386,0.0847,0.2026,0.2104,0.0325,-0.2498
2022-05-06,3904.213,0.3849,0.2777,-0.4688,-0.487,-0.9557,0.0335,-0.0002,-0.0241,0.055,0.0068,-0.5579
2022-05-13,3753.2801,0.357,0.1932,-0.5883,-0.841,-1.4293,-0.2198,0.0561,-0.0703,0.0146,-0.0415,-0.58
2022-05-20,3568.7652,0.3529,0.0504,-0.6061,-2.3289,-2.935,-0.1979,-0.2417,-0.1699,-0.039,-0.0299,-1.6506
2022-05-27,3539.3862,0.3751,0.0772,-0.5106,-1.9703,-2.4809,-0.1954,-0.1367,-0.1734,0.0706,0.0072,-1.5427
2022-06-03,3540.7277,0.3569,0.0854,-0.589,-1.7824,-2.3714,-0.4151,-0.14,-0.2248,-0.0404,-0.0407,-0.9215
2022-06-10,3786.5522,0.3516,0.1866,-0.6118,-0.8605,-1.4723,0.0653,-0.0413,-0.1332,-0.0093,-0.0223,-0.7196
2022-06-17,3891.7012,0.3503,0.0918,-0.6175,-1.6747,-2.2922,0.0419,-0.044,-0.0736,-0.0085,0.0019,-1.5924
2022-06-24,3732.2946,0.322,0.1197,-0.7446,-1.2506,-1.9952,-0.1963,-0.1571,-0.1454,-0.031,0.0015,-0.7223
2022-07-01,3525.4185,0.3274,0.0809,-0.7199,-1.7099,-2.4299,-0.2828,-0.2945,-0.2634,0.0535,-0.0292,-0.8935
2022-07-08,3550.5772,0.337,0.0726,-0.6767,-1.8705,-2.5472,-0.2414,-0.1916,-0.2478,0.0669,-0.0349,-1.2216
2022-07-15,3286.377,0.313,0.0443,-0.7859,-2.2847,-3.0706,-0.6,-0.3755,-0.3436,-0.055,-0.0014,-0.9093
2022-07-22,3507.9302,0.3346,0.0708,-0.6875,-1.887,-2.5745,-0.333,-0.45,-0.2746,-0.0277,0.0098,-0.8115
2022-07-29,3641.4939,0.3417,0.1179,-0.6556,-1.3573,-2.0129,-0.3664,-0.1541,-0.2446,0.0808,-0.0031,-0.67
2022-08-05,3509.989,0.3305,0.0391,-0.706,-2.4944,-3.2004,-0.461,-0.1444,-0.2952,-0.0474,-0.0248,-1.5216
2022-08-12,3186.7504,0.3074,0.0351,-0.8124,-2.5,-3.3124,-0.4664,-0.45,-0.4252,-0.0076,-0.0507,-1.1002
2022-08-19,3333.0996,0.3242,0.074,-0.7346,-1.7917,-2.5263,-0.1372,-0.3973,-0.3865,0.001,-0.049,-0.8227
2022-08-26,3265.9233,0.3293,0.0689,-0.7115,-1.8919,-2.6034,-0.2971,-0.2291,-0.3784,-0.0478,-0.0215,-0.918
2022-09-02,3398.852,0.3188,0.0334,-0.7593,-2.6052,-3.3644,-0.392,-0.0237,-0.2877,-0.0842,-0.0176,-1.8
2022-09-09,3104.0042,0.3404,0.0455,-0.6616,-2.3818,-3.0434,-0.3265,-0.3045,-0.4028,0.0758,-0.0053,-1.4185
2022-09-16,2973.7233,0.3102,0.0379,-0.7991,-2.4343,-3.2334,-0.2527,-0.4158,-0.4642,0.037,-0.0235,-1.3151
2022-09-23,2929.8192,0.3068,0.0554,-0.8153,-2.0214,-2.8367,-0.3478,-0.3832,-0.5044,0.1096,-0.0683,-0.8273
2022-09-30,2892.0659,0.3077,0.0478,-0.811,-2.1813,-2.9923,-0.5134,-0.262,-0.5738,0.0661,-0.0198,-0.8785
2022-10-07,2790.112,0.2919,0.0302,-0.8864,-2.5819,-3.4683,-0.6,-0.45,-0.6466,0.02,-0.063,-0.8423
2022-10-14,2826.4623,0.3031,0.0358,-0.8325,-2.4601,-3.2926,-0.4535,-0.45,-0.6368,0.0913,-0.0504,-0.9607
2022-10-21,2648.2739,0.2846,0.0246,-0.9219,-2.7576,-3.6796,-0.5294,-0.45,-0.7118,0.0187,-0.0395,-1.0456
2022-10-28,2612.0053,0.2731,0.0118,-0.9791,-3.4475,-4.4266,-0.4554,-0.45,-0.7071,-0.0305,-0.0045,-1.8
2022-11-04,2603.6778,0.285,0.013,-0.9196,-3.414,-4.3336,-0.4963,-0.4454,-0.7163,0.0264,0.0176,-1.8
2022-11-11,2636.4257,0.2666,0.0135,-1.0121,-3.2804,-4.2925,-0.4316,-0.2905,-0.7032,-0.0228,-0.0322,-1.8
2022-11-18,2690.379,0.2839,0.0111,-0.9252,-3.5666,-4.4918,-0.6,-0.4186,-0.6974,-0.0026,-0.0479,-1.8
2022-11-25,2547.8275,0.2773,0.0121,-0.9577,-3.4463,-4.404,-0.4055,-0.45,-0.7358,-0.0206,-0.0343,-1.8
2022-12-02,2371.0985,0.2656,0.0095,-1.0172,-3.6259,-4.6431,-0.5929,-0.45,-0.8156,0.0418,-0.0286,-1.7805
2022-12-09,2473.3096,0.2668,0.0109,-1.0108,-3.5018,-4.5126,-0.322,-0.45,-0.8137,-0.0634,-0.0527,-1.8
2022-12-16,2486.3998,0.2451,0.0095,-1.1249,-3.5198,-4.6446,-0.6,-0.3989,-0.8091,-0.0797,-0.0103,-1.6218
2022-12-23,2392.0671,0.2572,0.0128,-1.0608,-3.281,-4.3418,-0.3811,-0.45,-0.8504,-0.0252,-0.0422,-1.5322
2022-12-30,2521.349,0.2687,0.0114,-1.0014,-3.4613,-4.4627,-0.595,-0.45,-0.8228,-0.0263,-0.0365,-1.5308
2023-01-06,2512.8444,0.27,0.0164,-0.9945,-3.099,-4.0936,-0.6,-0.1706,-0.8187,-0.0032,-0.033,-1.4736
2023-01-13,2611.2773,0.2574,0.0118,-1.0593,-3.3652,-4.4245,-0.6,-0.45,-0.7946,-0.0836,-0.0376,-1.3994
2023-01-20,2597.4394,0.2869,0.0319,-0.9106,-2.5033,-3.4138,-0.6,-0.45,-0.8016,0.0428,-0.0293,-0.6651
2023-01-27,2790.7666,0.2649,0.041,-1.0207,-2.1308,-3.1516,-0.5386,-0.45,-0.7484,-0.0117,-0.0576,-0.3246
2023-02-03,2964.3904,0.2974,0.0581,-0.8596,-1.9267,-2.7863,-0.4996,-0.331,-0.6838,0.0265,-0.0551,-0.3837
2023-02-10,2911.1542,0.2873,0.0509,-0.9086,-2.0181,-2.9267,-0.6,-0.4424,-0.7052,0.0746,-0.0664,-0.2788
2023-02-17,3001.0006,0.2742,0.037,-0.9735,-2.2864,-3.26,-0.5826,-0.45,-0.6942,-0.0334,-0.0354,-0.4909
2023-02-24,3054.4636,0.3049,0.0751,-0.8239,-1.687,-2.5109,-0.2784,-0.365,-0.7139,0.0806,-0.029,-0.3813
2023-03-03,3197.2453,0.2663,0.0499,-1.0134,-1.9338,-2.9472,-0.3325,-0.45,-0.6997,-0.0443,-0.0351,-0.3722
2023-03-10,3048.2634,0.2843,0.057,-0.9232,-1.883,-2.8061,-0.5489,-0.2925,-0.7842,0.0469,-0.0123,-0.292
2023-03-17,3107.528,0.2888,0.0589,-0.9012,-1.8706,-2.7718,-0.5971,-0.3632,-0.7566,0.143,-0.0455,-0.2511
2023-03-24,3214.2311,0.2673,0.0442,-1.0085,-2.0662,-3.0747,-0.5828,-0.45,-0.7498,-0.0056,-0.0319,-0.2461
2023-03-31,2962.3974,0.2868,0.0509,-0.9108,-2.0148,-2.9256,-0.5332,-0.3611,-0.8161,0.0574,-0.0682,-0.2938
2023-04-07,2798.487,0.2565,0.0335,-1.0645,-2.297,-3.3615,-0.6,-0.45,-0.8898,-0.0181,-0.055,-0.2842
2023-04-14,2547.8285,0.2583,0.0355,-1.0546,-2.2471,-3.3017,-0.6,-0.4327,-0.9332,0.0621,-0.0338,-0.3095
2023-04-21,2499.9898,0.2582,0.0248,-1.0552,-2.6169,-3.6721,-0.6,-0.45,-0.931,-0.0418,-0.0307,-0.5634
2023-04-28,2551.7438,0.2581,0.0316,-1.0556,-2.3656,-3.4212,-0.5831,-0.45,-0.8878,0.0342,-0.0531,-0.4257
2023-05-05,2684.675,0.2841,0.0442,-0.9243,-2.1484,-3.0728,-0.5153,-0.45,-0.774,-0.0067,-0.0471,-0.3553
2023-05-12,2671.1545,0.2873,0.0505,-0.9085,-2.0252,-2.9336,-0.6,-0.3647,-0.7456,0.0159,-0.0755,-0.2552
2023-05-19,2823.7966,0.2636,0.0533,-1.0274,-1.8493,-2.8767,-0.3385,-0.45,-0.6615,-0.0508,-0.0505,-0.298
2023-05-26,2645.3212,0.2996,0.0488,-0.8493,-2.1201,-2.9694,-0.6,-0.45,-0.7038,-0.019,-0.0265,-0.3207
2023-06-02,2443.9188,0.2535,0.0368,-1.0802,-2.185,-3.2651,-0.6,-0.45,-0.759,-0.0223,-0.0339,-0.3198
2023-06-09,2418.9373,0.209,0.0198,-1.331,-2.5708,-3.9019,-0.5862,-0.444,-0.8062,-0.2503,-0.0362,-0.4479
2023-06-16,2436.747,0.2083,0.0302,-1.3355,-2.1327,-3.4682,-0.47,-0.2822,-0.8136,-0.2526,-0.0453,-0.2689
2023-06-23,2414.0663,0.2108,0.0339,-1.3199,-2.0292,-3.3491,-0.3703,-0.45,-0.7877,-0.1998,-0.0458,-0.1754
2023-06-30,2195.1161,0.2089,0.0185,-1.3314,-2.6401,-3.9715,-0.6,-0.45,-0.8068,-0.2637,-0.0594,-0.4602
2023-07-07,2169.73,0.2083,0.0321,-1.3351,-2.07,-3.4051,-0.4652,-0.347,-0.8129,-0.2141,-0.0323,-0.1984
2023-07-14,2039.1583,0.2098,0.0229,-1.3262,-2.4275,-3.7537,-0.6,-0.45,-0.7982,-0.2314,-0.0376,-0.3104
2023-07-21,2077.4678,0.2076,0.0247,-1.3395,-2.3344,-3.6739,-0.6,-0.4451,-0.8204,-0.2305,-0.0365,-0.2018
2023-07-28,2091.3119,0.2065,0.0256,-1.3463,-2.2913,-3.6376,-0.4987,-0.45,-0.8318,-0.2178,-0.0571,-0.2359
2023-08-04,1995.9581,0.2065,0.0259,-1.346,-2.2825,-3.6285,-0.5318,-0.45,-0.8312,-0.2471,-0.0896,-0.1328
2023-08-11,1938.9642,0.2109,0.0276,-1.3193,-2.2422,-3.5616,-0.6,-0.45,-0.7867,-0.2466,-0.0239,-0.1349
2023-08-18,1892.8626,0.2075,0.0294,-1.3398,-2.1559,-3.4957,-0.4103,-0.392,-0.8208,-0.1601,-0.056,-0.3167
2023-08-25,1904.4462,0.2095,0.0352,-1.3279,-1.9836,-3.3115,-0.4182,-0.3661,-0.801,-0.2613,-0.0634,-0.0736
2023-09-01,1974.2523,0.2098,0.0212,-1.326,-2.5065,-3.8325,-0.6,-0.2249,-0.7978,-0.1634,-0.0322,-0.6881
2023-09-08,1931.6641,0.2143,0.0425,-1.2992,-1.8161,-3.1152,-0.5443,-0.4121,-0.7532,0.0,-0.0532,-0.0533
2023-09-15,1976.3269,0.2188,0.0362,-1.2727,-2.0102,-3.2828,-0.5138,-0.4226,-0.709,0.0,-0.0233,-0.3415
2023-09-22,1960.6986,0.2196,0.0386,-1.2679,-1.9459,-3.2138,-0.5443,-0.4327,-0.701,0.0,-0.0319,-0.236
2023-09-29,1929.7467,0.2198,0.04,-1.2668,-1.9119,-3.1787,-0.6,-0.45,-0.6992,0.0,-0.0306,-0.1322
2023-10-06,1938.9884,0.2229,0.0458,-1.2491,-1.787,-3.0361,-0.6,-0.4066,-0.6697,0.0,-0.0709,-0.0398
2023-10-13,1894.2806,0.2208,0.0362,-1.2613,-2.0206,-3.2819,-0.581,-0.45,-0.69,0.0,-0.0198,-0.2797
2023-10-20,1877.9719,0.2249,0.0545,-1.2374,-1.6153,-2.8527,-0.3913,-0.4159,-0.6502,0.0,-0.0379,-0.1201
2023-10-27,1825.5082,0.2242,0.0458,-1.2414,-1.796,-3.0375,-0.4849,-0.3037,-0.6569,0.0,-0.0506,-0.2999
2023-11-03,1947.7109,0.2293,0.0484,-1.2122,-1.7666,-2.9787,-0.5934,-0.45,-0.6082,0.0,-0.0391,-0.0759
2023-11-10,1965.3531,0.2293,0.0738,-1.2122,-1.318,-2.5302,-0.4289,-0.3011,-0.6082,0.0,-0.0775,0.0977
2023-11-17,1939.8197,0.2272,0.0522,-1.2243,-1.6752,-2.8995,-0.6,-0.2921,-0.6283,0.0,-0.0343,-0.1206
2023-11-24,1967.7907,0.2326,0.0641,-1.1939,-1.4875,-2.6814,-0.3587,-0.4132,-0.5778,0.0,-0.0616,-0.0763
2023-12-01,1976.9019,0.2389,0.0597,-1.1585,-1.5981,-2.7566,-0.6,-0.45,-0.5186,0.0,-0.0659,0.0364
2023-12-08,1979.6121,0.2357,0.0617,-1.1762,-1.5448,-2.7209,-0.5597,-0.448,-0.5481,0.0,-0.0704,0.0814
2023-12-15,2031.9233,0.2376,0.08,-1.1657,-1.2767,-2.4424,-0.6,-0.2489,-0.5308,0.0,-0.0171,0.1201
2023-12-22,2094.3547,0.2437,0.0709,-1.1323,-1.4412,-2.5735,-0.6,-0.3513,-0.475,0.0,-0.0496,0.0346
2023-12-29,2077.7778,0.2386,0.0763,-1.1601,-1.3336,-2.4937,-0.3244,-0.45,-0.5214,0.0,-0.0083,-0.0296
2024-01-05,2058.5073,0.2384,0.0764,-1.1613,-1.3308,-2.4922,-0.5602,-0.4253,-0.5234,0.0,-0.0497,0.2278
2024-01-12,2057.9895,0.2356,0.0856,-1.1767,-1.1921,-2.3688,-0.4582,-0.3037,-0.549,0.0,-0.0741,0.1929
2024-01-19,1932.3335,0.2316,0.0682,-1.199,-1.416,-2.615,-0.5354,-0.3506,-0.5862,0.0,-0.0636,0.1199
2024-01-26,1859.9566,0.2246,0.0432,-1.2389,-1.8586,-3.0976,-0.4926,-0.45,-0.6528,0.0,-0.0184,-0.2449
2024-02-02,1951.106,0.2243,0.0593,-1.2405,-1.5237,-2.7642,-0.5514,-0.45,-0.6554,0.0,-0.0463,0.1793
2024-02-09,2063.0001,0.2297,0.0413,-1.2102,-1.9349,-3.1451,-0.6,-0.45,-0.6048,0.0,-0.0528,-0.2272
2024-02-16,2064.0912,0.2281,0.0792,-1.2188,-1.2348,-2.4537,-0.4021,-0.45,-0.6192,0.0,-0.0391,0.2756
2024-02-23,2116.3059,0.2291,0.0585,-1.2134,-1.5647,-2.7781,-0.6,-0.2544,-0.6102,0.0,-0.032,-0.068
2024-03-01,2152.9974,0.2277,0.0409,-1.2213,-1.9348,-3.1561,-0.6,-0.45,-0.6234,0.0,-0.02,-0.2414
2024-03-08,2369.086,0.2381,0.0855,-1.1629,-1.2064,-2.3693,-0.556,-0.2544,-0.526,0.0,-0.0102,0.1401
2024-03-15,2463.8243,0.24,0.1424,-1.1526,-0.643,-1.7957,-0.2677,-0.2152,-0.5089,0.0,-0.0456,0.3944
2024-03-22,2485.511,0.2385,0.0878,-1.1612,-1.1795,-2.3407,-0.3702,-0.2749,-0.5232,0.0,-0.0655,0.0542
2024-03-29,2455.962,0.2443,0.0902,-1.1293,-1.1823,-2.3116,-0.5083,-0.3893,-0.47,0.0,-0.045,0.2303
2024-04-05,2386.7993,0.247,0.1177,-1.1147,-0.8999,-2.0145,-0.4913,-0.2919,-0.4456,0.0,-0.0304,0.3593
2024-04-12,2427.5815,0.2574,0.1681,-1.0594,-0.5396,-1.5989,-0.4151,-0.2773,-0.3535,0.0,-0.0497,0.556
2024-04-19,2410.8099,0.2589,0.2143,-1.0518,-0.2475,-1.2993,-0.0588,-0.3568,-0.3408,0.0,-0.0488,0.5578
2024-04-26,2354.0201,0.2549,0.1369,-1.0727,-0.7682,-1.8409,-0.3323,-0.257,-0.3757,0.0,-0.0249,0.2217
2024-05-03,2344.2172,0.2502,0.1216,-1.0975,-0.88,-1.9775,-0.358,-0.4332,-0.417,0.0,-0.0351,0.3632
2024-05-10,2308.9632,0.2496,0.1789,-1.1005,-0.4233,-1.5238,-0.2753,-0.1995,-0.422,0.0,-0.0337,0.5073
2024-05-17,2434.0595,0.2497,0.095,-1.1001,-1.1537,-2.2538,-0.3888,-0.3643,-0.4214,0.0,-0.0495,0.0703
2024-05-24,2516.9173,0.2591,0.155,-1.0508,-0.6453,-1.6961,-0.3937,-0.2452,-0.3392,0.0,-0.0341,0.3669
2024-05-31,2546.6186,0.2687,0.2547,-1.0013,-0.0722,-1.0735,-0.3083,-0.1784,-0.2566,0.0,-0.0421,0.7132
2024-06-07,2671.3994,0.2754,0.3075,-0.9672,0.1552,-0.812,-0.2329,-0.1895,-0.1998,0.0,-0.0012,0.7787
2024-06-14,2708.6232,0.2763,0.2647,-0.9627,-0.0589,-1.0216,-0.2202,-0.0991,-0.1924,0.0,0.0024,0.4503
2024-06-21,2682.8043,0.2764,0.1865,-0.9622,-0.5108,-1.473,-0.1092,-0.2047,-0.1915,0.0,-0.0552,0.0497
2024-06-28,2817.1541,0.2953,0.3995,-0.8696,0.462,-0.4076,-0.0353,0.056,-0.0372,0.0,-0.0223,0.5007
2024-07-05,2888.9147,0.3008,0.4867,-0.8434,0.7902,-0.0532,0.113,-0.1291,0.0065,0.0,-0.0293,0.8291
2024-07-12,2848.6688,0.3083,0.6047,-0.8081,1.2331,0.4249,0.0634,0.0673,0.0653,0.0,-0.0065,1.0436
2024-07-19,2869.2975,0.3065,0.627,-0.8164,1.3356,0.5192,0.0704,0.2371,0.0514,0.0,0.0035,0.9732
2024-07-26,2840.9189,0.304,0.3947,-0.8285,0.4007,-0.4278,-0.2516,-0.0737,0.0314,0.0,-0.0259,0.7206
2024-08-02,2776.7994,0.3077,0.6043,-0.8108,1.2341,0.4233,0.2018,-0.0168,0.0608,0.0,-0.0124,1.0006
2024-08-09,2874.4162,0.3182,0.6819,-0.7619,1.5244,0.7624,0.211,0.1693,0.1422,0.0,-0.0062,1.0081
2024-08-16,3046.1206,0.3331,0.74,-0.6942,1.7402,1.046,0.4224,0.2236,0.2552,0.0,0.0277,0.8113
2024-08-23,2976.1689,0.3276,0.6395,-0.7191,1.2921,0.573,-0.18,0.2094,0.2137,0.0,0.0215,1.0274
2024-08-30,3053.7702,0.3257,0.7777,-0.7275,1.9799,1.2524,0.5231,0.2123,0.1996,0.0,0.0045,1.0404
