date,sox_close,price_momentum_z,pe_dev,ps_dev,capex_surplus,dio,dio_qoq,sentiment_z
2021-07-23,2807.5021,2.654,0.4294,0.3158,0.0414,65.0,0.0,0.6064
2021-07-30,2852.7708,2.674,0.6883,0.6328,0.0633,65.0,0.0,0.4294
2021-08-06,2845.1436,2.6435,0.6608,0.8314,0.0516,65.0,0.0,0.9898
2021-08-13,2840.0908,2.6391,0.5708,0.8189,0.0612,65.0,0.0,0.9563
2021-08-20,2884.9678,2.4537,0.7984,0.5743,0.0888,65.0,0.0,0.5766
2021-08-27,2809.3755,2.1435,0.4339,0.5366,0.0174,65.0,0.0,0.5307
2021-09-03,2738.6169,2.0478,0.3733,0.647,0.0807,65.0,0.0,0.5941
2021-09-10,2716.8145,1.769,0.4501,0.4524,0.0493,65.0,0.0,0.7965
2021-09-17,2729.4852,1.664,0.5163,0.5819,0.0286,65.0,0.0,0.5149
2021-09-24,2777.9955,1.543,0.5355,0.614,0.019,65.0,0.0,0.622
2021-10-01,2908.2388,1.5871,0.4833,0.6726,0.0422,65.0,0.0,0.5573
2021-10-08,2999.6782,1.8046,0.5789,0.5568,0.0658,65.0,0.0,0.664
2021-10-15,3017.6809,1.853,0.391,0.5513,0.0451,65.0,0.0,0.6868
2021-10-22,3046.4231,1.6964,0.6987,0.4557,0.077,65.0,0.0,0.641
2021-10-29,3000.5341,1.4542,0.4834,0.4208,0.0158,65.0,0.0,0.4888
2021-11-05,3029.1507,1.4336,0.6241,0.4836,0.0444,65.0,0.0,0.4024
2021-11-12,3037.5824,1.3613,0.519,0.5349,0.0188,65.0,0.0,0.6234
2021-11-19,3092.4654,1.1849,0.4981,0.555,0.0487,65.0,0.0,0.2804
2021-11-26,3059.4354,1.1669,0.5077,0.3597,0.0589,65.0,0.0,0.4646
2021-12-03,3129.7525,1.1235,0.4831,0.6034,0.032,65.0,0.0,0.388
2021-12-10,3280.9773,1.3001,0.5439,0.4507,-0.009,65.0,0.0,0.5774
2021-12-17,3304.8661,1.3025,0.6267,0.4789,0.0471,65.0,0.0,0.3098
2021-12-24,3371.1049,1.1623,0.4619,0.3647,0.0498,65.0,0.0,0.534
2021-12-31,3462.9796,1.0962,0.508,0.1609,0.048,65.0,0.0,0.413
2022-01-07,3462.8739,0.9205,0.3654,0.4768,0.061,65.0,0.0,0.3573
2022-01-14,3516.9028,0.7488,0.4946,0.4025,0.0103,65.0,0.0,0.1138
2022-01-21,3553.179,0.7332,0.2353,0.2837,0.0449,65.0,0.0,0.222
2022-01-28,3597.3873,0.6374,0.498,0.2866,0.052,65.0,0.0,0.2551
2022-02-04,3563.8407,0.5913,0.2596,0.3185,-0.009,88.4047,0.3601,0.2597
2022-02-11,3601.6629,0.5379,0.0716,0.0662,0.031,86.0199,0.3234,0.086
2022-02-18,3682.5201,0.5894,0.279,0.2016,0.0164,95.38,0.4674,0.0929
2022-02-25,3852.9419,0.7018,0.2237,0.3917,0.0286,90.1066,0.3863,0.236
2022-03-04,3983.8717,0.7005,0.4058,0.1636,0.0372,99.506,0.5,0.0135
2022-03-11,4238.1605,1.0217,0.3259,0.4419,0.0288,89.6967,0.3799,0.2982
2022-03-18,4199.2386,0.6383,0.2287,0.1288,0.0147,86.458,0.3301,0.1643
2022-03-25,4332.808,0.8554,0.1298,0.4093,0.0354,82.4314,0.2682,-0.3044
2022-04-01,4395.9957,1.0423,0.3552,0.4113,0.0172,80.9843,0.2459,0.2724
2022-04-08,4680.6148,1.0847,0.1293,0.2477,0.018,82.0793,0.2628,0.4869
2022-04-15,4632.8376,0.8651,0.1695,0.4901,0.0485,91.3356,0.4052,-0.0142
2022-04-22,4581.9086,0.6764,0.3876,0.2124,0.0065,92.5436,0.4237,-0.21
2022-04-29,4389.5937,0.4052,0.2822,0.0941,0.0325,82.094,0.263,-0.4163
2022-05-06,3904.213,-0.0482,0.0279,-0.0002,0.0068,94.4752,0.0687,-0.9299
2022-05-13,3753.2801,-0.1405,-0.1832,0.0623,-0.0415,87.5847,0.0182,-0.9667
2022-05-20,3568.7652,-0.3398,-0.1649,-0.2685,-0.0299,90.734,-0.0487,-2.751
2022-05-27,3539.3862,-0.3469,-0.1628,-0.1519,0.0072,98.0611,0.0883,-2.5711
2022-06-03,3540.7277,-0.4495,-0.3459,-0.1555,-0.0407,94.4842,-0.0505,-1.5358
2022-06-10,3786.5522,-0.2665,0.0544,-0.0459,-0.0223,88.6573,-0.0116,-1.1994
2022-06-17,3891.7012,-0.1472,0.0349,-0.0489,0.0019,85.544,-0.0106,-2.654
2022-06-24,3732.2946,-0.2907,-0.1636,-0.1746,0.0015,79.2409,-0.0387,-1.2039
2022-07-01,3525.4185,-0.5268,-0.2357,-0.3272,-0.0292,86.4042,0.0669,-1.4892
2022-07-08,3550.5772,-0.4956,-0.2012,-0.2129,-0.0349,88.9443,0.0836,-2.036
2022-07-15,3286.377,-0.6871,-0.5,-0.4172,-0.0014,85.0641,-0.0687,-1.5155
2022-07-22,3507.9302,-0.5492,-0.2775,-0.5,0.0098,89.3437,-0.0346,-1.3525
2022-07-29,3641.4939,-0.4891,-0.3053,-0.1712,-0.0031,90.3843,0.101,-1.1167
2022-08-05,3509.989,-0.5903,-0.3842,-0.1604,-0.0248,88.8757,-0.0593,-2.536
2022-08-12,3186.7504,-0.8503,-0.3887,-0.5,-0.0507,86.75,-0.0095,-1.8336
2022-08-19,3333.0996,-0.773,-0.1143,-0.4414,-0.049,90.8433,0.0012,-1.3712
2022-08-26,3265.9233,-0.7567,-0.2476,-0.2546,-0.0215,92.2097,-0.0597,-1.53
2022-09-02,3398.852,-0.5754,-0.3267,-0.0263,-0.0176,84.548,-0.1052,-3.0
2022-09-09,3104.0042,-0.8056,-0.2721,-0.3383,-0.0053,97.0547,0.0947,-2.3641
2022-09-16,2973.7233,-0.9285,-0.2106,-0.462,-0.0235,89.5071,0.0463,-2.1918
2022-09-23,2929.8192,-1.0088,-0.2898,-0.4258,-0.0683,90.0942,0.137,-1.3788
2022-09-30,2892.0659,-1.1475,-0.4278,-0.2911,-0.0198,93.5411,0.0826,-1.4641
2022-10-07,2790.112,-1.2932,-0.5,-0.5,-0.063,91.1661,0.025,-1.4039
2022-10-14,2826.4623,-1.2737,-0.3779,-0.5,-0.0504,94.7657,0.1141,-1.6011
2022-10-21,2648.2739,-1.4237,-0.4412,-0.5,-0.0395,91.4356,0.0234,-1.7426
2022-10-28,2612.0053,-1.4143,-0.3795,-0.5,-0.0045,86.9378,-0.0381,-3.0
2022-11-04,2603.6778,-1.4325,-0.4136,-0.4949,0.0176,91.8075,0.033,-3.0
2022-11-11,2636.4257,-1.4064,-0.3597,-0.3228,-0.0322,84.2814,-0.0285,-3.0
2022-11-18,2690.379,-1.3949,-0.5,-0.4651,-0.0479,90.5428,-0.0033,-3.0
2022-11-25,2547.8275,-1.4717,-0.3379,-0.5,-0.0343,89.8339,-0.0258,-3.0
2022-12-02,2371.0985,-1.6312,-0.4941,-0.5,-0.0286,88.9594,0.0522,-2.9675
2022-12-09,2473.3096,-1.6274,-0.2683,-0.5,-0.0527,89.3573,-0.0793,-3.0
2022-12-16,2486.3998,-1.6182,-0.5,-0.4432,-0.0103,80.5908,-0.0996,-2.703
2022-12-23,2392.0671,-1.7007,-0.3176,-0.5,-0.0422,87.2564,-0.0315,-2.5536
2022-12-30,2521.349,-1.6455,-0.4958,-0.5,-0.0365,90.4642,-0.0329,-2.5513
2023-01-06,2512.8444,-1.6374,-0.5,-0.1895,-0.033,90.7993,-0.004,-2.456
2023-01-13,2611.2773,-1.5893,-0.5,-0.5,-0.0376,84.8616,-0.1045,-2.3323
2023-01-20,2597.4394,-1.6033,-0.5,-0.5,-0.0293,96.3285,0.0535,-1.1085
2023-01-27,2790.7666,-1.4968,-0.4488,-0.5,-0.0576,85.6691,-0.0146,-0.541
2023-02-03,2964.3904,-1.3676,-0.4163,-0.3678,-0.0551,94.8473,0.0331,-0.6395
2023-02-10,2911.1542,-1.4103,-0.5,-0.4915,-0.0664,92.136,0.0932,-0.4646
2023-02-17,3001.0006,-1.3883,-0.4855,-0.5,-0.0354,86.7689,-0.0417,-0.8182
2023-02-24,3054.4636,-1.4278,-0.232,-0.4055,-0.029,98.8766,0.1007,-0.6355
2023-03-03,3197.2453,-1.3994,-0.2771,-0.5,-0.0351,84.0318,-0.0554,-0.6203
2023-03-10,3048.2634,-1.5683,-0.4574,-0.325,-0.0123,94.5958,0.0586,-0.4867
2023-03-17,3107.528,-1.5133,-0.4976,-0.4036,-0.0455,95.0029,0.1788,-0.4185
2023-03-24,3214.2311,-1.4995,-0.4857,-0.5,-0.0319,86.6469,-0.007,-0.4102
2023-03-31,2962.3974,-1.6321,-0.4443,-0.4012,-0.0682,96.9623,0.0718,-0.4896
2023-04-07,2798.487,-1.7795,-0.5,-0.5,-0.055,88.7498,-0.0226,-0.4737
2023-04-14,2547.8285,-1.8663,-0.5,-0.4808,-0.0338,91.4435,0.0776,-0.5159
2023-04-21,2499.9898,-1.862,-0.5,-0.5,-0.0307,91.3016,-0.0522,-0.939
2023-04-28,2551.7438,-1.7757,-0.4859,-0.5,-0.0531,89.3285,0.0427,-0.7095
2023-05-05,2684.675,-1.5481,-0.4294,-0.5,-0.0471,94.054,-0.0084,-0.5921
2023-05-12,2671.1545,-1.4913,-0.5,-0.4052,-0.0755,93.9674,0.0199,-0.4254
2023-05-19,2823.7966,-1.323,-0.2821,-0.5,-0.0505,81.2573,-0.0635,-0.4966
2023-05-26,2645.3212,-1.4077,-0.5,-0.5,-0.0265,96.5217,-0.0238,-0.5345
2023-06-02,2443.9188,-1.5179,-0.5,-0.5,-0.0339,81.6875,-0.0279,-0.533
2023-06-09,2418.9373,-1.6125,-0.4885,-0.4933,-0.0362,65.0,-0.3129,-0.7465
2023-06-16,2436.747,-1.6273,-0.3917,-0.3136,-0.0453,65.0,-0.3158,-0.4481
2023-06-23,2414.0663,-1.5755,-0.3086,-0.5,-0.0458,65.0,-0.2498,-0.2924
2023-06-30,2195.1161,-1.6137,-0.5,-0.5,-0.0594,65.0,-0.3296,-0.767
2023-07-07,2169.73,-1.6259,-0.3877,-0.3856,-0.0323,65.0,-0.2676,-0.3307
2023-07-14,2039.1583,-1.5963,-0.5,-0.5,-0.0376,65.0,-0.2892,-0.5174
2023-07-21,2077.4678,-1.6408,-0.5,-0.4946,-0.0365,65.0,-0.2881,-0.3364
2023-07-28,2091.3119,-1.6635,-0.4156,-0.5,-0.0571,65.0,-0.2723,-0.3931
2023-08-04,1995.9581,-1.6623,-0.4432,-0.5,-0.0896,65.0,-0.3089,-0.2213
2023-08-11,1938.9642,-1.5735,-0.5,-0.5,-0.0239,65.0,-0.3083,-0.2249
2023-08-18,1892.8626,-1.6417,-0.3419,-0.4355,-0.056,65.0,-0.2001,-0.5279
2023-08-25,1904.4462,-1.602,-0.3485,-0.4068,-0.0634,65.0,-0.3266,-0.1226
2023-09-01,1974.2523,-1.5957,-0.5,-0.2499,-0.0322,65.0,-0.2043,-1.1468
2023-09-08,1931.6641,-1.5063,-0.4536,-0.4579,-0.0532,65.0,0.0,-0.0888
2023-09-15,1976.3269,-1.418,-0.4282,-0.4695,-0.0233,65.0,0.0,-0.5691
2023-09-22,1960.6986,-1.4019,-0.4536,-0.4808,-0.0319,65.0,0.0,-0.3934
2023-09-29,1929.7467,-1.3983,-0.5,-0.5,-0.0306,65.0,0.0,-0.2203
2023-10-06,1938.9884,-1.3394,-0.5,-0.4518,-0.0709,65.0,0.0,-0.0663
2023-10-13,1894.2806,-1.38,-0.4842,-0.5,-0.0198,65.0,0.0,-0.4662
2023-10-20,1877.9719,-1.3003,-0.3261,-0.4621,-0.0379,65.0,0.0,-0.2001
2023-10-27,1825.5082,-1.3138,-0.4041,-0.3374,-0.0506,65.0,0.0,-0.4999
2023-11-03,1947.7109,-1.2163,-0.4945,-0.5,-0.0391,65.0,0.0,-0.1265
2023-11-10,1965.3531,-1.2163,-0.3574,-0.3346,-0.0775,65.0,0.0,0.1628
2023-11-17,1939.8197,-1.2566,-0.5,-0.3245,-0.0343,65.0,0.0,-0.201
2023-11-24,1967.7907,-1.1555,-0.2989,-0.4591,-0.0616,65.0,0.0,-0.1271
2023-12-01,1976.9019,-1.0372,-0.5,-0.5,-0.0659,65.0,0.0,0.0606
2023-12-08,1979.6121,-1.0962,-0.4664,-0.4978,-0.0704,65.0,0.0,0.1357
2023-12-15,2031.9233,-1.0615,-0.5,-0.2766,-0.0171,65.0,0.0,0.2002
2023-12-22,2094.3547,-0.95,-0.5,-0.3903,-0.0496,65.0,0.0,0.0577
2023-12-29,2077.7778,-1.0427,-0.2703,-0.5,-0.0083,65.0,0.0,-0.0493
2024-01-05,2058.5073,-1.0468,-0.4668,-0.4726,-0.0497,65.0,0.0,0.3796
2024-01-12,2057.9895,-1.0981,-0.3818,-0.3374,-0.0741,65.0,0.0,0.3215
2024-01-19,1932.3335,-1.1724,-0.4462,-0.3896,-0.0636,65.0,0.0,0.1998
2024-01-26,1859.9566,-1.3055,-0.4105,-0.5,-0.0184,65.0,0.0,-0.4081
2024-02-02,1951.106,-1.3107,-0.4595,-0.5,-0.0463,65.0,0.0,0.2989
2024-02-09,2063.0001,-1.2097,-0.5,-0.5,-0.0528,65.0,0.0,-0.3787
2024-02-16,2064.0912,-1.2385,-0.3351,-0.5,-0.0391,65.0,0.0,0.4594
2024-02-23,2116.3059,-1.2204,-0.5,-0.2827,-0.032,65.0,0.0,-0.1134
2024-03-01,2152.9974,-1.2467,-0.5,-0.5,-0.02,65.0,0.0,-0.4024
2024-03-08,2369.086,-1.0519,-0.4633,-0.2827,-0.0102,65.0,0.0,0.2335
2024-03-15,2463.8243,-1.0178,-0.2231,-0.2391,-0.0456,65.0,0.0,0.6573
2024-03-22,2485.511,-1.0463,-0.3085,-0.3054,-0.0655,65.0,0.0,0.0904
2024-03-29,2455.962,-0.94,-0.4236,-0.4326,-0.045,65.0,0.0,0.3839
2024-04-05,2386.7993,-0.8912,-0.4094,-0.3243,-0.0304,65.0,0.0,0.5988
2024-04-12,2427.5815,-0.707,-0.3459,-0.3081,-0.0497,65.0,0.0,0.9267
2024-04-19,2410.8099,-0.6817,-0.049,-0.3964,-0.0488,65.0,0.0,0.9296
2024-04-26,2354.0201,-0.7515,-0.2769,-0.2855,-0.0249,65.0,0.0,0.3695
2024-05-03,2344.2172,-0.834,-0.2983,-0.4813,-0.0351,65.0,0.0,0.6053
2024-05-10,2308.9632,-0.8441,-0.2294,-0.2217,-0.0337,65.0,0.0,0.8455
2024-05-17,2434.0595,-0.8427,-0.324,-0.4048,-0.0495,65.0,0.0,0.1171
2024-05-24,2516.9173,-0.6784,-0.3281,-0.2724,-0.0341,65.0,0.0,0.6115
2024-05-31,2546.6186,-0.5132,-0.2569,-0.1982,-0.0421,65.0,0.0,1.1886
2024-06-07,2671.3994,-0.3997,-0.1941,-0.2106,-0.0012,65.0,0.0,1.2979
2024-06-14,2708.6232,-0.3847,-0.1835,-0.1101,0.0024,65.0,0.0,0.7505
2024-06-21,2682.8043,-0.383,-0.091,-0.2274,-0.0552,65.0,0.0,0.0829
2024-06-28,2817.1541,-0.0743,-0.0294,0.0622,-0.0223,65.0,0.0,0.8345
2024-07-05,2888.9147,0.013,0.0942,-0.1435,-0.0293,65.0,0.0,1.3819
2024-07-12,2848.6688,0.1306,0.0528,0.0748,-0.0065,65.0,0.0,1.7393
2024-07-19,2869.2975,0.1029,0.0587,0.2634,0.0035,65.0,0.0,1.622
2024-07-26,2840.9189,0.0627,-0.2097,-0.0819,-0.0259,65.0,0.0,1.201
2024-08-02,2776.7994,0.1217,0.1682,-0.0187,-0.0124,65.0,0.0,1.6677
2024-08-09,2874.4162,0.2845,0.1758,0.1881,-0.0062,65.0,0.0,1.6801
2024-08-16,3046.1206,0.5104,0.352,0.2485,0.0277,65.0,0.0,1.3521
2024-08-23,2976.1689,0.4274,-0.15,0.2327,0.0215,65.0,0.0,1.7124
2024-08-30,3053.7702,0.3992,0.4359,0.2359,0.0045,65.0,0.0,1.734
2024-09-06,3040.7427,0.4476,0.1894,0.2728,0.0245,65.0,0.0,0.8955
2024-09-13,3040.201,0.3838,0.3116,0.2982,0.0074,65.0,0.0,1.3336
2024-09-20,3031.6585,0.3979,0.06,0.2266,0.0135,65.0,0.0,1.5363
2024-09-27,3002.5553,0.4149,0.2657,0.1615,0.0531,65.0,0.0,0.8343
2024-10-04,3042.2282,0.4386,0.0759,0.2732,0.0474,65.0,0.0,1.4676
2024-10-11,3015.5364,0.4799,0.1448,0.427,-0.0037,65.0,0.0,1.114
2024-10-18,3072.1122,0.5579,0.481,0.2331,0.0419,65.0,0.0,1.5411
2024-10-25,3105.1191,0.6738,0.2725,0.1848,0.0456,65.0,0.0,1.1141
2024-11-01,3123.8315,0.5018,0.2548,0.348,0.0002,65.0,0.0,1.2084
2024-11-08,3090.4405,0.4474,0.3104,0.1888,0.0374,65.0,0.0,1.4572
2024-11-15,3082.9639,0.478,0.2784,-0.0263,0.053,65.0,0.0,1.6557
2024-11-22,3178.1805,0.5239,0.2558,0.3283,0.0016,65.0,0.0,1.0675
2024-11-29,3256.1188,0.5817,0.3045,0.1979,0.0078,65.0,0.0,1.1328
2024-12-06,3215.6164,0.542,0.5334,0.2314,0.0451,65.0,0.0,1.0502
2024-12-13,3262.1891,0.5093,0.2249,0.265,0.0289,65.0,0.0,1.4974
2024-12-20,3362.6146,0.5108,0.2565,0.2499,0.0346,65.0,0.0,1.2412
2024-12-27,3262.6268,0.4487,0.3326,0.2816,0.0279,65.0,0.0,0.8942
2025-01-03,3346.0978,0.5462,0.3794,0.1948,0.0327,65.0,0.0,0.0965
2025-01-10,3330.8209,0.5314,0.3832,0.2941,-0.0022,65.0,0.0,1.8627
2025-01-17,3418.3048,0.7964,0.4144,0.3085,0.054,65.0,0.0,2.0386
2025-01-24,3394.0982,0.8906,0.2302,0.4511,0.059,65.0,0.0,1.6049
2025-01-31,3281.6787,0.6315,0.4757,0.3453,0.0234,65.0,0.0,1.8277
2025-02-07,3187.532,0.3848,0.0415,0.0714,0.0175,65.0,0.0,1.5443
2025-02-14,3229.6142,0.4168,0.2293,0.3098,-0.0109,65.0,0.0,1.0156
2025-02-21,3289.3397,0.3954,0.0932,0.1204,0.0291,65.0,0.0,0.453
2025-02-28,3201.6752,0.2731,0.1214,0.2157,0.0248,65.0,0.0,1.3694
2025-03-07,3289.2434,0.096,0.0854,0.0855,0.0035,65.0,0.0,1.2745
2025-03-14,3114.4096,-0.1273,-0.0223,0.145,0.0162,65.0,0.0,0.8032
2025-03-21,3122.7786,-0.1424,-0.0174,-0.0911,-0.0138,65.0,0.0,0.7293
2025-03-28,3006.0318,-0.2014,0.0978,-0.1322,0.0014,65.0,0.0,0.9845
2025-04-04,2952.4815,-0.1803,-0.0315,-0.0858,-0.0293,65.0,0.0,-0.7564
2025-04-11,2972.142,-0.2045,-0.1266,-0.1285,-0.0106,65.0,0.0,0.5214
2025-04-18,2897.4982,-0.2459,-0.0008,-0.0247,-0.0155,65.0,0.0,0.6051
2025-04-25,2872.987,-0.2143,0.0409,-0.2788,-0.006,65.0,0.0,0.245
2025-05-02,2988.5392,-0.1188,-0.2042,-0.1724,-0.0133,65.0,0.0,1.0192
2025-05-09,2943.1397,-0.121,0.0138,-0.175,-0.0086,65.0,0.0,0.718
2025-05-16,3043.9399,-0.1656,0.0051,0.0286,0.0083,65.0,0.0,0.7256
2025-05-23,2938.8031,-0.3152,-0.1839,0.0453,-0.024,65.0,0.0,0.6573
2025-05-30,3007.9917,-0.2911,0.0278,-0.1456,-0.0463,65.0,0.0,0.0918
2025-06-06,3174.7996,-0.2787,-0.1496,-0.1472,0.0214,65.0,0.0,0.652
2025-06-13,2916.0294,-0.4786,-0.2041,-0.2076,0.0054,65.0,0.0,0.0995
2025-06-20,2849.2776,-0.5041,-0.2504,-0.0968,-0.0491,65.0,0.0,0.4005
2025-06-27,2921.0724,-0.5489,-0.2459,-0.3473,-0.0112,65.0,0.0,0.0073
2025-07-04,2914.9189,-0.5982,-0.3986,-0.2374,-0.0368,65.0,0.0,0.2167
2025-07-11,2967.3586,-0.5385,-0.4164,-0.1317,-0.0193,65.0,0.0,-0.1021
2025-07-18,2919.467,-0.5808,-0.069,-0.2014,-0.0203,65.0,0.0,-1.182
2025-07-25,2942.9122,-0.5467,-0.3485,-0.2223,-0.0296,65.0,0.0,-0.4619
2025-08-01,2941.5917,-0.5042,-0.3487,-0.1148,-0.0389,65.0,0.0,0.2194
2025-08-08,3076.5294,-0.4841,-0.4798,-0.5,-0.0363,65.0,0.0,0.1654
2025-08-15,3119.3078,-0.5657,-0.3311,-0.1757,-0.0439,65.0,0.0,-0.5522
2025-08-22,3171.7623,-0.4902,-0.3827,-0.2928,-0.0394,65.0,0.0,-0.5985
2025-08-29,3126.2275,-0.5644,-0.0568,-0.4539,-0.0269,65.0,0.0,-0.2028
2025-09-05,3074.244,-0.5854,-0.1409,-0.2021,-0.0406,65.0,0.0,0.1103
2025-09-12,3028.2019,-0.61,-0.3542,-0.1159,-0.0136,65.0,0.0,-0.3527
2025-09-19,3057.9799,-0.5851,0.0083,-0.274,0.0034,65.0,0.0,-1.1343
2025-09-26,3013.2431,-0.5914,-0.1466,-0.1554,-0.0381,65.0,0.0,-0.4077
2025-10-03,3033.4114,-0.6007,-0.307,-0.0857,-0.0221,65.0,0.0,-0.1704
2025-10-10,3216.2109,-0.4755,-0.5,-0.0679,-0.0121,65.0,0.0,0.2814
2025-10-17,3293.8301,-0.4635,0.0621,-0.0268,-0.0122,65.0,0.0,-0.5848
2025-10-24,3255.0265,-0.5039,-0.3963,-0.1434,-0.0217,65.0,0.0,0.0487
2025-10-31,3365.8159,-0.4505,-0.4048,-0.1951,-0.0063,65.0,0.0,0.1816
2025-11-07,3317.8791,-0.456,-0.087,-0.3839,-0.0117,65.0,0.0,0.1517
2025-11-14,3108.3758,-0.5695,0.0369,-0.2799,-0.0505,65.0,0.0,0.1934
2025-11-21,3008.1537,-0.6759,-0.13,-0.3875,-0.0121,65.0,0.0,-0.3704
2025-11-28,2833.3085,-0.8073,-0.2736,-0.0999,-0.0157,65.0,0.0,-1.4537
2025-12-05,2797.7635,-0.803,-0.2685,-0.3592,-0.0486,65.0,0.0,-0.3521
2025-12-12,2793.7139,-0.8227,-0.2439,-0.3328,-0.0331,65.0,0.0,-1.6838
2025-12-19,2928.6311,-0.7925,-0.2454,-0.2748,-0.0193,65.0,0.0,-0.0595
2025-12-26,2951.4973,-0.7284,-0.281,-0.3084,-0.0353,65.0,0.0,-0.1799
2026-01-02,2926.1941,-0.7765,-0.3187,-0.1421,-0.0111,65.0,0.0,-0.6818
2026-01-09,2993.1517,-0.7283,-0.3223,-0.3824,0.0162,65.0,0.0,-1.1479
2026-01-16,2788.6175,-0.8678,-0.4509,-0.3399,-0.0507,65.0,0.0,-1.7148
2026-01-23,2802.7515,-0.8435,-0.3866,-0.436,-0.062,65.0,0.0,-0.3261
2026-01-30,2861.9623,-0.7555,-0.5,-0.4697,-0.0258,65.0,0.0,-1.5459
2026-02-06,2729.2886,-0.7773,-0.3432,-0.3987,-0.0181,65.0,0.0,-0.7641
2026-02-13,2817.4791,-0.7425,-0.4383,-0.3225,-0.0362,65.0,0.0,-1.7319
2026-02-20,2840.4553,-0.752,-0.4553,-0.3694,-0.0028,65.0,0.0,-0.7726
2026-02-27,2799.3862,-0.7266,-0.2926,-0.3895,-0.0578,65.0,0.0,-0.5589
2026-03-06,2846.9294,-0.7361,-0.1504,-0.4723,-0.0175,65.0,0.0,-0.2668
2026-03-13,3035.1707,-0.5359,-0.1323,-0.2482,-0.0366,65.0,0.0,0.018
2026-03-20,3045.6602,-0.5286,-0.4281,-0.4032,0.0102,65.0,0.0,-0.9506
2026-03-27,3062.2487,-0.4445,-0.3236,-0.1166,0.019,65.0,0.0,0.2549
2026-04-03,3013.9239,-0.4345,-0.0876,-0.1876,-0.0358,65.0,0.0,-1.5857
2026-04-10,2931.0551,-0.492,-0.3426,-0.3829,-0.0338,65.0,0.0,-0.8039
2026-04-17,2998.2058,-0.3957,-0.2108,-0.2144,-0.0016,65.0,0.0,0.2927
2026-04-24,2915.2079,-0.4271,-0.1314,-0.2771,-0.0279,65.0,0.0,0.1023
2026-05-01,2915.6364,-0.4957,-0.3424,-0.187,-0.0238,65.0,0.0,0.2403
2026-05-08,2868.0248,-0.4923,-0.2122,-0.0721,-0.0223,65.0,0.0,-0.9445
2026-05-15,2903.5006,-0.5274,-0.3992,-0.4439,-0.0626,65.0,0.0,-1.7596
2026-05-22,2926.7572,-0.4381,-0.2743,-0.1855,-0.0209,65.0,0.0,0.2359
2026-05-29,3012.0025,-0.421,-0.1564,-0.2088,-0.0337,65.0,0.0,-1.438
